web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1730849833-87","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Nat.Sakura Glow Serum Cream Spf30 20Ml","","Rp 41.500"
"1730849833-88","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Natural Bright Complete Ampoule Serum Vitamin C 1.5mL","","Rp 25.700"
"1730849833-89","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Natural Serum Mask Sakura White 28G","","Rp 28.500"
"1730849833-90","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Naturals Bright Cmplete Cleansing Foam Anti-Acne 100mL","","Rp 42.500"
"1730849833-91","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely 2 In 1 Powder Cream 20G","","Rp 28.900"
"1730849833-92","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Bright C Glow Facial Foam Vitamin C 100g","","Rp 32.500"
"1730849833-93","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Cream Derma Glow 23g","","Rp 23.900"
"1730849833-94","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Cream Derma Glow 46g","","Rp 44.100"
"1730849833-95","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Facial Foam Derma Glow 100g","","Rp 32.500"
"1730849833-96","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Facial Foam Derma Glow 50g","","Rp 19.400"
"1730849833-97","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Ultimate UV Duo Vitamin C SPF 35 Pa+++ 20g","","Rp 21.700"
"1730849833-98","https://www.klikindomaret.com/category/facial-cleanser","Hanasui Vitamin C +Collagen Serum 20mL","","Rp 26.900"
"1730849833-99","https://www.klikindomaret.com/category/facial-cleanser","Hanasui Whitening Gold Serum 20mL","","Rp 26.900"
"1730849833-100","https://www.klikindomaret.com/category/facial-cleanser","I Like Myself Serum Moisturizer Kakadu Radiance 8g","","Rp 25.000"
"1730849833-101","https://www.klikindomaret.com/category/facial-cleanser","I Like Myself Serum Moisturizer Mugwort Blemish 8g","","Rp 25.000"
"1730849833-102","https://www.klikindomaret.com/category/facial-cleanser","I Like Myself Serum Moisturizer Skin Barrier 8g","","Rp 25.000"
"1730849833-103","https://www.klikindomaret.com/category/facial-cleanser","Implora 24K Gold Serum 20mL","","Rp 36.000"
"1730849833-104","https://www.klikindomaret.com/category/facial-cleanser","Implora Acne Serum 20Ml","","Rp 36.000"
"1730849833-105","https://www.klikindomaret.com/category/facial-cleanser","Implora Luminos Brightening Serum 20mL","","Rp 36.000"
"1730849833-106","https://www.klikindomaret.com/category/facial-cleanser","Indomaret Facial Cotton 50G","","Rp 10.500"
"1730849833-107","https://www.klikindomaret.com/category/facial-cleanser","Indomaret Kapas Kecantikan 35G","","Rp 7.400"
"1730849833-108","https://www.klikindomaret.com/category/facial-cleanser","Kahf Sunscreen Moisturizer SPF 30 Pa+++ 30mL","","Rp 43.700"
"1730849833-109","https://www.klikindomaret.com/category/facial-cleanser","Kao Biore Uv Oil Control Matte Spf 50Pa+++ Fresh & Bright 30g","","Rp 39.900"
"1730849833-110","https://www.klikindomaret.com/category/facial-cleanser","Kojiesan Face Lightening Cream 30G","","Rp 51.000"
"1730849833-111","https://www.klikindomaret.com/category/facial-cleanser","La Tulipe Two Function Cake Refill Y10 13g","","Rp 37.900"
"1730849833-112","https://www.klikindomaret.com/category/facial-cleanser","La Tulipe Two Function Cake Y10 13g","","Rp 60.600"
"1730849833-113","https://www.klikindomaret.com/category/facial-cleanser","Marck's Bedak Cream 40G","","Rp 22.700"
"1730849833-114","https://www.klikindomaret.com/category/facial-cleanser","Maybelline Fit Me Matte+Poreless Powder 120 Classic Ivory 6G","","Rp 77.500"
"1730849833-115","https://www.klikindomaret.com/category/facial-cleanser","Nivea Sparkling Bright Facial Foam Pearl 100Ml","","Rp 35.500"
"1730849833-116","https://www.klikindomaret.com/category/facial-cleanser","Nivea Sun Extra Protect Face Serum SPF 50 Instant Aura 7mL","","Rp 18.500"
"1730849833-117","https://www.klikindomaret.com/category/facial-cleanser","Nivea Sun Extra Protect Face Serum SPF 50 Oil Control 7mL","","Rp 18.500"
"1730849833-118","https://www.klikindomaret.com/category/facial-cleanser","Ovale Facial Lotion Anti Acne 200mL","","Rp 33.000"
"1730849833-119","https://www.klikindomaret.com/category/facial-cleanser","Ovale Facial Lotion Whitening 200mL","","Rp 33.000"
"1730849833-120","https://www.klikindomaret.com/category/facial-cleanser","Ovale Real Clay Mask Perfect Purifying 50G","","Rp 29.500"
"1730849833-121","https://www.klikindomaret.com/category/facial-cleanser","Pixy Aqua Beauty Protectting Mist 60Ml","","Rp 32.900"
"1730849833-122","https://www.klikindomaret.com/category/facial-cleanser","Pixy Bb Cream 03 Beige 30Ml","","Rp 42.600"
"1730849833-123","https://www.klikindomaret.com/category/facial-cleanser","Pixy Bb Cream Bright Fix 30Ml","","Rp 42.600"
"1730849833-124","https://www.klikindomaret.com/category/facial-cleanser","Pixy Two Way Cake Perfect Fit Refill Natural Beige 12.2g","","Rp 28.900"
"1730849833-125","https://www.klikindomaret.com/category/facial-cleanser","Pixy Two Way Cake Perfect Fit Refill Natural White 12.2g","","Rp 28.900"
"1730849833-126","https://www.klikindomaret.com/category/facial-cleanser","Pixy Two Way Cake Perfect Last 01 Fair Ochre 9G","","Rp 45.200"
"1730849833-127","https://www.klikindomaret.com/category/facial-cleanser","Pixy Two Way Cake Perfect Last 02 Natural Buff 9G","","Rp 45.200"
"1730849833-128","https://www.klikindomaret.com/category/facial-cleanser","Pixy Two Way Cake Uv Whitening Natural White 12.2G","","Rp 47.000"
"1730849833-129","https://www.klikindomaret.com/category/facial-cleanser","Pixy Uv Whitening Concealing Base 01 Nat.Beige 9G","","Rp 41.000"
"1730849833-130","https://www.klikindomaret.com/category/facial-cleanser","Pixy Uv Whitening Concealing Base 02 Sand Beige 9G","","Rp 41.000"
"1730849833-131","https://www.klikindomaret.com/category/facial-cleanser","Poise Facial Foam Anti Acne 100g","","Rp 27.500"
"1730849833-132","https://www.klikindomaret.com/category/facial-cleanser","Poise Facial Foam Oil Control 100G","","Rp 27.500"
"1730849833-133","https://www.klikindomaret.com/category/facial-cleanser","Poise Luminous Bright Micellar Water 125mL","","Rp 24.000"
"1730849833-134","https://www.klikindomaret.com/category/facial-cleanser","Poise Luminous White Brightening Cream SPF 36++++ 20g","","Rp 19.900"
"1730849833-135","https://www.klikindomaret.com/category/facial-cleanser","Pond's Age Miracle Day Cream 20G","","Rp 78.800"
"1730849833-136","https://www.klikindomaret.com/category/facial-cleanser","Ponds Age Miracle Serum Ultimate Youth 7g","","Rp 26.500"
"1730849833-137","https://www.klikindomaret.com/category/facial-cleanser","Ponds Bright Beauty Power Serum 7.5G","","Rp 19.000"
"1730849833-138","https://www.klikindomaret.com/category/facial-cleanser","Ponds Bright Beauty/Miracle Whip Collagen 100G","","Rp 45.300"
"1730849833-139","https://www.klikindomaret.com/category/facial-cleanser","Ponds Bright Miracle Serum Ultimate Clarity 14G","","Rp 40.000"
"1730849833-140","https://www.klikindomaret.com/category/facial-cleanser","Ponds Micellar Miracel Water Brightening 55mL","","Rp 15.900"
"1730849833-141","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pelembab Wajah Age Miracle Hexyl-Retinol Day Cream 10G","","Rp 41.300"
"1730849833-142","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pelembab Wajah Day Cream Normal Skin Niasorcinol 20G","","Rp 31.900"
"1730849833-143","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pelembap Wajah Age Miracle Hexyl-Retinol Night Cream 10G","","Rp 45.800"
"1730849833-144","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pembersih Wajah Bright Beauty Niasorcinol 100G","","Rp 38.000"
"1730849833-145","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pembersih Wajah Bright Beauty Niasorcinol 50G","","Rp 25.400"
"1730849833-146","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pembersih Wajah Charcoal 50G","","Rp 26.500"
"1730849833-147","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pembersih Wajah Clear Solution/Pore Clear 100G","","Rp 45.300"
"1730849833-148","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pembersih Wajah Facial Foam Pure Bright/Charcoal 100g","","Rp 39.500"
"1730849833-149","https://www.klikindomaret.com/category/facial-cleanser","Ponds Pure Bright/Miracle Whip Collagen 100G","","Rp 45.300"
"1730849833-150","https://www.klikindomaret.com/category/facial-cleanser","Ponds Sun Serum Uv Protect SPF35 Pa+++ UVA UVB 30g","","Rp 29.500"
"1730849833-151","https://www.klikindomaret.com/category/facial-cleanser","Pond's Vitamin Micellar Water Brghtening Rose 100Ml","","Rp 28.500"
"1730849833-152","https://www.klikindomaret.com/category/facial-cleanser","Ponds White Beauty Serum Burst Cream 20G","","Rp 40.500"
"1730849833-153","https://www.klikindomaret.com/category/facial-cleanser","Purbasari Glow Facial Foam Brightening 100g","","Rp 23.500"
"1730849833-154","https://www.klikindomaret.com/category/facial-cleanser","Purbasari Matte Powder Hydra Series Honey Beige 12g","","Rp 24.500"
"1730849833-155","https://www.klikindomaret.com/category/facial-cleanser","Purbasari Matte Powder Hydra Series Natural 12g","","Rp 24.500"
"1730849833-156","https://www.klikindomaret.com/category/facial-cleanser","Rojukiss Pro Acne Serum Cleanser Tea Tree Bija 100mL","","Rp 20.900"
"1730849833-157","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Facial Foam Anti Acne 75G","","Rp 26.200"
"1730849833-158","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Facial Foam Gel Hydra Glow 100g","","Rp 29.100"
"1730849833-159","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Facial Foam Putih Langsat 75G","","Rp 26.900"
"1730849833-160","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Foundation Kuning Langsat 35mL","","Rp 19.000"
"1730849833-161","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Foundation Kunng Pengantin 35mL","","Rp 19.000"
"1730849833-162","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Intensive Acne Serum 12mL","","Rp 28.500"
"1730849833-163","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Loose Powder Kuning Langsat 14g","","Rp 23.900"
"1730849833-164","https://www.klikindomaret.com/category/facial-cleanser","Sari Ayu Loose Powder Kuning Pengantin 14g","","Rp 23.900"
"1730849833-165","https://www.klikindomaret.com/category/facial-cleanser","Scarlett Ultra Light Daily Sunscreen Spf 50 Pa+++ 30mL","","Rp 40.000"
"1730849833-166","https://www.klikindomaret.com/category/facial-cleanser","Selection Kapas Kecantikan 50G","","Rp 10.500"
"1730849833-167","https://www.klikindomaret.com/category/facial-cleanser","Selection Kapas Special Tipis 60G","","Rp 16.700"
"1730849833-168","https://www.klikindomaret.com/category/facial-cleanser","Selection Round Kapas 80'S","","Rp 18.200"
"1730849833-169","https://www.klikindomaret.com/category/facial-cleanser","Skintific Purifying Micellar Water Mugwort 75mL","","Rp 39.000"
"1730849833-170","https://www.klikindomaret.com/category/facial-cleanser","The Originote Ceramella Sunscreen Spf50pa+++ 50G","","Rp 47.200"
"1730849833-171","https://www.klikindomaret.com/category/facial-cleanser","Verile Acne Gel 10g","","Rp 22.000"
"1730849833-172","https://www.klikindomaret.com/category/facial-cleanser","Vienna Charcoal Black Head Nose 10Ml","","Rp 10.200"
"1730849833-173","https://www.klikindomaret.com/category/facial-cleanser","Vio Acne Patch Hydrocolloid 18''S Day/Night","","Rp 17.000"
"1730849833-174","https://www.klikindomaret.com/category/facial-cleanser","Vio Acne Shield Patch 24's Day/Night","","Rp 38.000"
"1730849833-175","https://www.klikindomaret.com/category/facial-cleanser","Viva Penyegar Air Mawar 200mL","","Rp 11.500"
"1730849833-176","https://www.klikindomaret.com/category/facial-cleanser","Wardah Acnederm Micellar Water Acne Care 100mL","","Rp 35.100"
"1730849833-177","https://www.klikindomaret.com/category/facial-cleanser","Wardah Creamy Wash C-Defense 100Ml","","Rp 43.400"
"1730849833-178","https://www.klikindomaret.com/category/facial-cleanser","Wardah Crystal Secret Day Cream Brightening 15Ml","","Rp 61.600"
"1730849833-179","https://www.klikindomaret.com/category/facial-cleanser","Wardah Crystal Secret/Clarifying Facial Wash 100Ml","","Rp 41.800"
"1730849833-180","https://www.klikindomaret.com/category/facial-cleanser","Wardah Everyday Bb Cream Natural 15Ml","","Rp 30.900"
"1730849833-181","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Bb Cream Light 15Ml","","Rp 38.300"
"1730849833-182","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Day Cream 20g","","Rp 35.600"
"1730849833-183","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Feel Two Way Cake 02 Golden Beige 12G","","Rp 61.500"
"1730849833-184","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Feel Two Way Cake 03 Sheer Pink 12G","","Rp 61.500"
"1730849833-185","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Liquid Foundation 02 Neutral Beige","","Rp 56.800"
"1730849833-186","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Liquid Foundation 03 Warm Beige","","Rp 56.800"
"1730849833-187","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Night Cream Advanced Niacinamide 20 Ml","","Rp 35.900"
"1730849833-188","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Two Way Cake Refill 02 Golden Beige 12G","","Rp 41.600"
"1730849833-189","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Two Way Cake Refill 03 Sheer Pink 12G","","Rp 41.600"
"1730849833-190","https://www.klikindomaret.com/category/facial-cleanser","Wardah Lightening Whip Facial Foam 100Ml","","Rp 36.600"
"1730849833-191","https://www.klikindomaret.com/category/facial-cleanser","Wardah Nature Daily Micellar Water Seaweed 100Ml","","Rp 35.100"
"1730849833-192","https://www.klikindomaret.com/category/facial-cleanser","Wardah Perfect Bright Creamy Foam Bright + Oil Control 100mL","","Rp 35.300"
"1730849833-193","https://www.klikindomaret.com/category/facial-cleanser","Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 100mL","","Rp 35.300"
"1730849833-194","https://www.klikindomaret.com/category/facial-cleanser","Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 50mL","","Rp 22.700"
"1730849833-195","https://www.klikindomaret.com/category/facial-cleanser","Wardah Perfect Bright Moisturizer Bright + Oil Control SPF 30 Pa+++ 20mL","","Rp 36.300"
"1730849833-196","https://www.klikindomaret.com/category/facial-cleanser","Wardah Renew You Rejuvenating Facial Wash 100mL","","Rp 43.900"
"1730849833-197","https://www.klikindomaret.com/category/facial-cleanser","Wardah Renew You SPF 35 Pa+++ Day Cream 9g","","Rp 35.300"
"1730849833-198","https://www.klikindomaret.com/category/facial-cleanser","Wardah Tone Up Micellar Water Perfect Bright 100mL","","Rp 33.000"
"1730849833-199","https://www.klikindomaret.com/category/facial-cleanser","Wardah Uv Shield Acne Calming Sunscreen Spf 35 Pa+++ 35mL","","Rp 38.700"
"1730849833-200","https://www.klikindomaret.com/category/facial-cleanser","Wardah Uv Shield Airy Sunscreen Serum Spf 50 Pa++++ 25mL","","Rp 38.700"
"1730849833-201","https://www.klikindomaret.com/category/facial-cleanser","Wardah Uv Shield Essent Sunscreen Gel Spf 35 Pa+++ 40mL","","Rp 38.700"
"1730849833-202","https://www.klikindomaret.com/category/facial-cleanser","Y.O.U Hy! Amino Ac-Ttack Anti Acne Facial Wash 100g","","Rp 31.400"
